24200000,LoadLibrary,lpFileName=C:\WINDOWS\system32\IMM32.DLL,Return=76390000
24296000,LoadLibrary,lpFileName=gdi32.dll,Return=77f10000
24258000,LoadLibrary,lpFileName=LPK.DLL,Return=629c0000
24346000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session,Manager\CriticalSectionTimeout,Return=0
24346000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Ole\RWLockResourceTimeOut,Return=2
24361000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemSetupInProgress,Return=0
24476000,CreateFile,hName=C:\WINDOWS\WindowsShell.Manifest,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=48
24505000,RegQueryValue,hKey=HKEY_CURRENT_USER\Control,Panel\Desktop\SmoothScroll,Return=2
24507000,RegQueryValue,hKey=HKEY_CURRENT_USER\software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\EnableBalloonTips,Return=2
24508000,RegEnumValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\LanguagePack\SURR,Return=0,type=REG_DWORD,data=2
24395000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
24531000,LoadLibrary,lpFileName=comctl32.dll,Return=773d0000
24630000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ThemeManager\Compositing,Return=2
24632000,RegQueryValue,hKey=HKEY_CURRENT_USER\Control,Panel\Desktop\LameButtonText,Return=2
24669000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\UserEnvDebugLevel,Return=2
24671000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\ChkAccDebugLevel,Return=2
24673000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\ProductOptions\ProductType,Return=0
24686000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User,Shell,Folders\Personal,Return=0
24687000,RegQueryValue,hKey=HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User,Shell,Folders\Local,Settings,Return=0
24693000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\RsopDebugLevel,Return=2
24694000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\UserEnvDebugLevel,Return=2
24694000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\RsopLogging,Return=2
24696000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\winlogon\UserEnvDebugLevel,Return=2
24747000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\System\Setup\SystemSetupInProgress,Return=0
24748000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\System\WPA\PnP\seed,Return=0
24748000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\OsLoaderPath,Return=0
24748000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\OsLoaderPath,Return=0
24748000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemPartition,Return=0
24749000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemPartition,Return=0
24753000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\SourcePath,Return=0
24753000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\SourcePath,Return=0
24754000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\ServicePackSourcePath,Return=0
24754000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\ServicePackSourcePath,Return=0
24754000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\ServicePackCachePath,Return=2
24755000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\DriverCachePath,Return=0
24755000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\DriverCachePath,Return=0
24757000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\DevicePath,Return=0
24760000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\LogLevel,Return=2
24760000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Setup\LogPath,Return=2
24999000,CreateFile,hName=C:\WINDOWS\system32\OLEACCRC.DLL,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=64
25079000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\OLE\MinimumFreeMemPercentageToCreateProcess,Return=2
25079000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\OLE\MinimumFreeMemPercentageToCreateObject,Return=2
25142000,LoadLibrary,lpFileName=uxtheme.dll,Return=5ad70000
25325000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\ProgramFilesDir,Return=0
25337000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\Windows,NT\CurrentVersion\IMM\Ime,File,Return=0
25345000,CreateFile,hName=C:\WINDOWS\system32\msctfime.ime,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=78
25354000,CreateFile,hName=C:\WINDOWS\system32\msctfime.ime,desiredAccess=GENERIC_READ,creationDisposition=OPEN_EXISTING,Return=78
25422000,LoadLibrary,lpFileName=C:\WINDOWS\system32\ole32.dll,Return=774e0000
25368000,LoadLibrary,lpFileName=C:\WINDOWS\system32\msctfime.ime,Return=755c0000
25438000,RegQueryValue,hKey=HKEY_CURRENT_USER\SOFTWARE\Microsoft\CTF\Disable,Thread,Input,Manager,Return=2
25440000,RegQueryValue,hKey=HKEY_LOCAL_MACHINE\Software\Microsoft\CTF\SystemShared\CUAS,Return=0
25449000,LoadLibrary,lpFileName=C:\WINDOWS\system32\msctfime.ime,Return=755c0000
25495000,LoadLibrary,lpFileName=UxTheme.dll,Return=5ad70000
25526000,LoadLibrary,lpFileName=IMM32.dll,Return=76390000
25595000,RegEnumValue,hKey=HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows,NT\CurrentVersion\FontLink\SystemLink\Lucida,San,Return=0
25596000,RegEnumValue,hKey=HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows,NT\CurrentVersion\FontLink\SystemLink\Tah,Return=0
